"","yr","ene","feb","mar","abr","may","jun","jul","aug","sep","oct","nov","dec"
"13",1962,10.8666666666667,5.83333333333333,8.7,86.2666666666667,95.6666666666667,229.766666666667,120.666666666667,153.933333333333,289.2,108.266666666667,11.5333333333333,13.9666666666667
"14",1963,10.6,31.4666666666667,16.8,37.3333333333333,80.7333333333333,266,240.7,154.733333333333,242.566666666667,24.3666666666667,85.6666666666667,14.0666666666667
"15",1964,10.2333333333333,7.7,17.6666666666667,33.1333333333333,99.4,257.533333333333,247.133333333333,134.366666666667,227.066666666667,96.6,34.9,38.2333333333333
"16",1965,11.0333333333333,34.5333333333333,19.8333333333333,12.2666666666667,91.1666666666667,219.933333333333,92.6333333333333,223.666666666667,210.866666666667,211.2,20.3333333333333,18
"17",1966,15.9666666666667,13.3333333333333,37.4666666666667,84.8,98.6666666666667,272.133333333333,186.566666666667,166.366666666667,195.5,107.533333333333,19.7333333333333,13.2333333333333
"18",1967,26.3333333333333,10.9666666666667,14.0666666666667,100.633333333333,61.4333333333333,224.366666666667,64.3333333333333,177.833333333333,167.033333333333,195.533333333333,20.4333333333333,42.6
"19",1968,22,17.7,8.96666666666667,47.3333333333333,145.666666666667,280,106.333333333333,161.7,249.8,210.633333333333,23.4,24.3333333333333
"20",1969,13.5333333333333,9.33333333333333,13.1333333333333,52.4333333333333,97.4,174.366666666667,259.466666666667,422.633333333333,220.566666666667,124.5,47.8333333333333,12.2666666666667
"21",1970,11.0333333333333,7.2,5.66666666666667,57.6666666666667,73.8333333333333,247.366666666667,141.633333333333,183.466666666667,249.966666666667,69.2333333333333,17.4,23.4
"22",1971,12.7333333333333,7.83333333333333,11.2666666666667,28.3,73,165.866666666667,193.6,246.933333333333,282.366666666667,124.033333333333,53.0333333333333,22.9333333333333
"23",1972,17.4,9.06666666666667,22.3,26.9,95.0333333333333,267,151.1,134.3,102.833333333333,39.9666666666667,70.4,35.2333333333333
"24",1973,9.63333333333333,8.2,6.33333333333333,23.2333333333333,109.1,252.466666666667,136.166666666667,441.2,173.433333333333,176.633333333333,34.2666666666667,21.5333333333333
